id;survivor_id;name;age;gender;latitude;longitude;status
1;Accountability Kids Books;generate;10204;Unknown;Granite Cotton panel;Markets supply-chains;Normal
2;Pizza transform Account;THX Planner Future;21959;Female;EXE technologies;communities Concrete;Contaminated
3;Pass Sausages;Kuwaiti;80628;Female;Bike;auxiliary UAE;Normal
4;Gloves Soft Ball;networks schemas viral;53841;Unknown;invoice parse Practical;Manor plum back-end;Infected
5;Loan capacity;Dollar;12449;Male;Causeway Fresh;Granite;Normal
6;Computer;matrix parsing;8755;Female;Electronics yellow navigating;Berkshire evolve;Normal
7;Dinar;Wisconsin users;78893;Unknown;indexing efficient;Developer Franc Ruble;Infected
8;Car;middleware Cambridgeshire;64921;Unknown;Sleek Salad mindshare;withdrawal Market;Contaminated
9;Industrial;Architect;92121;Female;invoice streamline Implementation;RSS Product solid;Contaminated
10;Metal;Loan transmitter Home;25179;Unknown;web-enabled Card;payment;Infected
